doc_id,LEXSL_sl_11-20,LEXSL_sl_<10,LEXSL_sl_21-30,LEXSL_sl_31-40,LEXSL_sl_>51,LEXSL_sl_41-50
1a,20,28.88888889,17.77777778,20,11.11111111,2.222222222
1b,26.74418605,31.39534884,24.41860465,11.62790698,3.488372093,2.325581395
1c,27.27272727,31.81818182,25,6.818181818,0,9.090909091
2a,25,22.5,20.83333333,19.16666667,8.333333333,4.166666667
2b,25.80645161,6.451612903,22.58064516,16.12903226,16.12903226,12.90322581
3a,31.48148148,37.03703704,12.96296296,9.259259259,5.555555556,3.703703704
3b,32.92682927,34.14634146,17.07317073,12.19512195,1.219512195,2.43902439
3c,30,50,0,10,10,0
3d,29.89690722,10.30927835,25.77319588,12.37113402,6.18556701,15.46391753
3e,27.5,12.5,15.83333333,20,14.16666667,10
4a,26.78571429,19.64285714,25,12.5,8.928571429,7.142857143
4b,25,18.18181818,18.18181818,25,4.545454545,9.090909091
4c,23.80952381,12.6984127,22.22222222,22.22222222,9.523809524,9.523809524
5a,32,8,24,20,0,16
5b,27.5862069,27.5862069,24.13793103,10.34482759,3.448275862,6.896551724
5c,18.75,37.5,18.75,15.625,0,9.375
5d,46.875,15.625,21.875,12.5,3.125,0
5f,39.28571429,10.71428571,21.42857143,25,3.571428571,0
5g,50,0,30,10,10,0
5h,40,35.29411765,17.64705882,5.882352941,1.176470588,0
5i,26.66666667,37.33333333,24,9.333333333,0,2.666666667
5j,20.93023256,6.976744186,37.20930233,16.27906977,6.976744186,11.62790698
2c,21.10091743,16.51376147,20.18348624,11.9266055,25.68807339,4.587155963
2d,18.75,18.75,12.5,12.5,25,12.5
